Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Terra_MOD13A3
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-08-01,MASA,0.5650000000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-08-01,MASA,0.15860000000000002
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-08-01,MASA,0.2503
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-08-01,MASA,0.5042
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-08-01,MASA,0.5263
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-08-01,MASA,0.4752
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-08-01,MASA,0.4474
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-08-01,MASA,0.4222
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-08-01,MASA,0.40990000000000004
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-09-01,MASA,0.305
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-09-01,MASA,0.526
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-09-01,MASA,0.2994
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-09-01,MASA,0.1678
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-09-01,MASA,0.010400000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-09-01,MASA,0.5311
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-09-01,MASA,0.6002000000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-09-01,MASA,0.157
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-09-01,MASA,0.26930000000000004
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-09-01,MASA,0.519
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-09-01,MASA,0.48760000000000003
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-09-01,MASA,0.5292
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-09-01,MASA,0.5264
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-09-01,MASA,0.43670000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-09-01,MASA,0.4151
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-10-01,MASA,0.30210000000000004
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-10-01,MASA,0.5515
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-10-01,MASA,0.2842
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-10-01,MASA,0.1544
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-10-01,MASA,-0.0473
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-10-01,MASA,0.5344
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-10-01,MASA,0.5741
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-10-01,MASA,0.1836
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-10-01,MASA,0.3719
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-10-01,MASA,0.5193
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-10-01,MASA,0.47740000000000005
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-10-01,MASA,0.5796
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-10-01,MASA,0.5394
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-10-01,MASA,0.4923
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-10-01,MASA,0.3084
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-11-01,MASA,0.3266
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-11-01,MASA,0.4501
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-11-01,MASA,0.2625
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-11-01,MASA,0.14120000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-11-01,MASA,-0.1258
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-11-01,MASA,0.41850000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-11-01,MASA,0.4706
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-11-01,MASA,0.2214
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-11-01,MASA,0.3451
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-11-01,MASA,0.402
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-11-01,MASA,0.46890000000000004
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-11-01,MASA,0.5186000000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-11-01,MASA,0.498
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-11-01,MASA,0.4928
