Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Terra_MOD13A3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-10-01,MASA,0.1486
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-10-01,MASA,0.34950000000000003
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-10-01,MASA,0.1449
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-10-01,MASA,0.09920000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-10-01,MASA,-0.012100000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-10-01,MASA,0.3435
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-10-01,MASA,0.3231
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-10-01,MASA,0.1159
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-10-01,MASA,0.22110000000000002
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-10-01,MASA,0.25830000000000003
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-10-01,MASA,0.24050000000000002
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-10-01,MASA,0.30970000000000003
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-10-01,MASA,0.3089
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-10-01,MASA,0.2919
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-10-01,MASA,0.1237
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-11-01,MASA,0.1582
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-11-01,MASA,0.26130000000000003
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-11-01,MASA,0.1338
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-11-01,MASA,0.0892
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-11-01,MASA,-0.046700000000000005
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-11-01,MASA,0.23870000000000002
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-11-01,MASA,0.2457
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-11-01,MASA,0.1179
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-11-01,MASA,0.215
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-11-01,MASA,0.18510000000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-11-01,MASA,0.22970000000000002
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-11-01,MASA,0.252
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-11-01,MASA,0.2707
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-11-01,MASA,0.2993
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-11-01,MASA,0.0835
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-12-01,MASA,0.1476
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-12-01,MASA,0.2155
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-12-01,MASA,0.1109
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-12-01,MASA,0.08510000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-12-01,MASA,-0.005
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-12-01,MASA,0.2311
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-12-01,MASA,0.2175
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-12-01,MASA,0.12000000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-12-01,MASA,0.1831
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-12-01,MASA,0.2268
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-12-01,MASA,0.17470000000000002
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-12-01,MASA,0.21580000000000002
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-12-01,MASA,0.2364
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-12-01,MASA,0.31520000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-12-01,MASA,0.0791
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-01-01,MASA,0.1403
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-01-01,MASA,0.189
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-01-01,MASA,0.09730000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-01-01,MASA,0.0823
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-01-01,MASA,0.0291
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-01-01,MASA,0.1995
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-01-01,MASA,0.1764
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-01-01,MASA,0.1333
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-01-01,MASA,0.1686
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-01-01,MASA,0.1678
