Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,LST_Night_Aqua_MYD21C3
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-08-01,MASA,5.8964
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-08-01,MASA,5.918000000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-08-01,MASA,5.9152
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-08-01,MASA,5.7248
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-09-01,MASA,5.619199999999999
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-09-01,MASA,5.8756
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-09-01,MASA,5.9336
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-09-01,MASA,5.615600000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-09-01,MASA,5.9896
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-09-01,MASA,5.8668000000000005
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-09-01,MASA,5.88
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-09-01,MASA,5.6976
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-09-01,MASA,5.666800000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-09-01,MASA,5.932
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-09-01,MASA,5.744
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-09-01,MASA,5.856000000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-09-01,MASA,5.856000000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-09-01,MASA,5.8508000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-09-01,MASA,5.653200000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-10-01,MASA,5.5904
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-10-01,MASA,5.7468
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-10-01,MASA,5.862000000000001
