Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Aqua_MYD13A3
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-03-01,MASA,-0.023200000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-03-01,MASA,0.33640000000000003
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-03-01,MASA,0.1665
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-03-01,MASA,0.1641
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-03-01,MASA,0.1216
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-03-01,MASA,0.156
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-03-01,MASA,0.1522
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-03-01,MASA,0.1078
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-03-01,MASA,0.2546
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-03-01,MASA,0.2644
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-03-01,MASA,0.0609
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-04-01,MASA,0.1789
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-04-01,MASA,0.1787
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-04-01,MASA,0.14730000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-04-01,MASA,0.08950000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-04-01,MASA,-0.023200000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-04-01,MASA,0.3408
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-04-01,MASA,0.193
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-04-01,MASA,0.4393
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-04-01,MASA,0.2273
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-04-01,MASA,0.1713
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-04-01,MASA,0.25320000000000004
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-04-01,MASA,0.2669
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-04-01,MASA,0.24080000000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-04-01,MASA,0.22030000000000002
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-04-01,MASA,0.1371
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-05-01,MASA,0.21230000000000002
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-05-01,MASA,0.1708
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-05-01,MASA,0.1406
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-05-01,MASA,0.1467
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-05-01,MASA,-0.010700000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-05-01,MASA,0.28950000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-05-01,MASA,0.2661
