Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Aqua_MYD13A3
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-03-01,MASA,0.31880000000000003
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-03-01,MASA,0.3201
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-03-01,MASA,0.47790000000000005
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-03-01,MASA,0.43920000000000003
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-03-01,MASA,0.42760000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-03-01,MASA,0.1428
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-04-01,MASA,0.3352
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-04-01,MASA,0.34390000000000004
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-04-01,MASA,0.2296
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-04-01,MASA,0.1558
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-04-01,MASA,-0.19540000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-04-01,MASA,0.5524
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-04-01,MASA,0.365
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-04-01,MASA,0.5564
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-04-01,MASA,0.31920000000000004
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-04-01,MASA,0.3584
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-04-01,MASA,0.4686
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-04-01,MASA,0.4807
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-04-01,MASA,0.4282
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-04-01,MASA,0.3541
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-04-01,MASA,0.2906
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-05-01,MASA,0.38
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-05-01,MASA,0.33580000000000004
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-05-01,MASA,0.24730000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-05-01,MASA,0.2205
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-05-01,MASA,-0.0419
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-05-01,MASA,0.4731
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-05-01,MASA,0.42760000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-05-01,MASA,0.6481
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-05-01,MASA,0.3816
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-05-01,MASA,0.4459
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-05-01,MASA,0.4994
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-05-01,MASA,0.5476
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-05-01,MASA,0.3945
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-05-01,MASA,0.34040000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-05-01,MASA,0.5512
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-06-01,MASA,0.5506
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-06-01,MASA,0.4767
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-06-01,MASA,0.35150000000000003
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-06-01,MASA,0.2587
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-06-01,MASA,-0.0217
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-06-01,MASA,0.33630000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-06-01,MASA,0.6134000000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-06-01,MASA,0.6998000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-06-01,MASA,0.3649
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-06-01,MASA,0.5953
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-06-01,MASA,0.6381
