iter	Passed	Remaining
332	7737	3880
333	7782	3867
334	7829	3856
335	7878	3845
336	7913	3827
337	7945	3808
338	7969	3784
339	8002	3765
340	8025	3742
341	8069	3727
342	8097	3706
343	8122	3683
344	8145	3659
345	8172	3637
346	8203	3617
347	8232	3595
348	8251	3570
349	8269	3544
350	8297	3522
351	8319	3498
352	8338	3472
353	8369	3451
354	8389	3426
355	8415	3403
356	8442	3381
357	8469	3359
358	8498	3338
359	8521	3313
360	8548	3291
361	8574	3268
362	8617	3252
363	8636	3226
364	8657	3202
365	8679	3177
366	8713	3157
367	8744	3136
368	8769	3113
369	8801	3092
370	8828	3069
371	8853	3046
372	8878	3022
373	8900	2998
374	8920	2973
375	8944	2949
376	8973	2927
377	9006	2906
378	9029	2882
379	9055	2859
380	9087	2838
381	9110	2814
382	9132	2789
383	9156	2766
384	9179	2741
385	9204	2718
386	9240	2698
387	9265	2674
388	9288	2650
389	9314	2627
390	9340	2603
391	9369	2581
392	9392	2557
393	9414	2532
394	9444	2510
395	9471	2487
396	9497	2463
397	9516	2438
398	9540	2414
399	9562	2390
400	9587	2367
401	9607	2342
402	9636	2319
403	9660	2295
