Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,GPM
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-06-01,MASA,17.280000150203705
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-06-01,MASA,16.560001373291016
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-07-01,MASA,28.27200186252594
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-07-01,MASA,40.17600104212761
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-07-01,MASA,34.96800157427788
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-07-01,MASA,31.248002350330353
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-07-01,MASA,23.064001008868217
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-07-01,MASA,19.3440003991127
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-07-01,MASA,38.6880007982254
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-07-01,MASA,23.80800113081932
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-07-01,MASA,34.224002838134766
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-07-01,MASA,35.71200031042099
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-07-01,MASA,27.528000354766846
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-07-01,MASA,28.27200186252594
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-07-01,MASA,34.224002838134766
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-07-01,MASA,29.760002106428146
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-07-01,MASA,26.784001618623734
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-08-01,MASA,35.71200031042099
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-08-01,MASA,50.592002749443054
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-08-01,MASA,43.15200152993202
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-08-01,MASA,38.6880007982254
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-08-01,MASA,28.27200186252594
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-08-01,MASA,27.528000354766846
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-08-01,MASA,48.360003769397736
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-08-01,MASA,31.992001086473465
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-08-01,MASA,40.9200025498867
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-08-01,MASA,42.40800279378891
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-08-01,MASA,35.71200031042099
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-08-01,MASA,37.200000554323196
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-08-01,MASA,43.896003037691116
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-08-01,MASA,37.94400206208229
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-08-01,MASA,32.73600259423256
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-09-01,MASA,59.760003089904785
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-09-01,MASA,98.64000678062439
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-09-01,MASA,87.12000489234924
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-09-01,MASA,68.40000450611115
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-09-01,MASA,54.00000214576721
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-09-01,MASA,49.68000411987305
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-09-01,MASA,91.44000291824341
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-09-01,MASA,53.28000068664551
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-09-01,MASA,74.16000545024872
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-09-01,MASA,81.36000394821167
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-09-01,MASA,61.200000643730164
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-09-01,MASA,96.48000240325928
