Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,TerraClimate
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-01-01,MASA,30
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-01-01,MASA,35
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-01-01,MASA,87
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-01-01,MASA,54
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-01-01,MASA,60
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-01-01,MASA,75
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-01-01,MASA,65
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-01-01,MASA,25
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-02-01,MASA,27
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-02-01,MASA,65
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-02-01,MASA,62
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-02-01,MASA,29
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-02-01,MASA,41
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-02-01,MASA,41
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-02-01,MASA,72
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-02-01,MASA,26
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-02-01,MASA,38
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-02-01,MASA,93
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-02-01,MASA,36
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-02-01,MASA,85
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-02-01,MASA,51
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-02-01,MASA,48
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-02-01,MASA,35
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-03-01,MASA,45
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-03-01,MASA,68
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-03-01,MASA,69
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-03-01,MASA,46
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-03-01,MASA,58
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-03-01,MASA,60
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-03-01,MASA,72
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-03-01,MASA,45
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-03-01,MASA,55
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-03-01,MASA,89
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-03-01,MASA,49
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-03-01,MASA,88
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-03-01,MASA,62
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-03-01,MASA,63
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-03-01,MASA,53
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-04-01,MASA,56
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-04-01,MASA,64
