Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,ERA5
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-03-01,MASA,87.38675233213655
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-03-01,MASA,105.4460358270859
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-03-01,MASA,75.27675744383089
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-03-01,MASA,117.16590341417543
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-03-01,MASA,75.25044199316255
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-03-01,MASA,67.63164218752138
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-03-01,MASA,139.91824802248232
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-04-01,MASA,127.56388189777823
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-04-01,MASA,98.26955499634238
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-04-01,MASA,53.06431951508017
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-04-01,MASA,105.30035498127432
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-04-01,MASA,65.03139736637564
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-04-01,MASA,106.75283076748343
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-04-01,MASA,143.25928988441916
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-04-01,MASA,94.1462546823928
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-04-01,MASA,132.57842066273184
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-04-01,MASA,135.94641091808768
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-04-01,MASA,117.22968819126578
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-04-01,MASA,150.05892815575095
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-04-01,MASA,87.85949947819205
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-04-01,MASA,75.10677280411215
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-04-01,MASA,129.93786039337607
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-05-01,MASA,170.50405971848903
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-05-01,MASA,126.84858970487056
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-05-01,MASA,41.78213708245693
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-05-01,MASA,109.90427069508968
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-05-01,MASA,44.91774372899471
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-05-01,MASA,152.1669738754028
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-05-01,MASA,214.4530975087875
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-05-01,MASA,119.07250814282833
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-05-01,MASA,164.12943236672817
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-05-01,MASA,129.14840512120662
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-05-01,MASA,160.30902795636592
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-05-01,MASA,180.65930538022457
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-05-01,MASA,90.79664580666957
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-05-01,MASA,81.29174642407833
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-05-01,MASA,96.95694975697933
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-06-01,MASA,158.648765306868
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-06-01,MASA,84.11676309625093
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-06-01,MASA,24.405783634581013
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-06-01,MASA,210.76173208276217
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-06-01,MASA,14.074555259146138
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-06-01,MASA,44.793358664907856
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-06-01,MASA,246.1031588129181
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-06-01,MASA,84.92045722524111
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-06-01,MASA,307.0208045057434
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-06-01,MASA,119.20783541718905
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-06-01,MASA,135.74131451169436
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-06-01,MASA,80.04454396287386
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-06-01,MASA,55.05401514092867
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-06-01,MASA,33.131650309957905
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-06-01,MASA,171.098938804068
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-07-01,MASA,78.09803805671578
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-07-01,MASA,89.11185882411843
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-07-01,MASA,37.57619283519631
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-07-01,MASA,131.1465146335209
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-07-01,MASA,46.88599131427651
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-07-01,MASA,84.06422458015328
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-07-01,MASA,157.63995967231637
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-07-01,MASA,104.10798511825448
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-07-01,MASA,152.7015807422245
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-07-01,MASA,93.94831381164437
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-07-01,MASA,74.94583151660805
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-07-01,MASA,84.31353590808754
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-07-01,MASA,65.81702254138833
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-07-01,MASA,54.54469642959481
