system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,.geo
2012_03_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2012-03,0.3401,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2012_03_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2012-03,0.42200000000000004,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2012_03_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2012-03,0.4315,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2012_03_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2012-03,0.3371,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2012_04_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2012-04,0.4403,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2012_04_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2012-04,0.24710000000000001,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2012_04_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2012-04,0.3194,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2012_04_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2012-04,0.5647,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2012_04_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2012-04,0.449,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2012_04_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2012-04,0.4692,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2012_04_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2012-04,0.4297,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2012_04_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2012-04,0.3119,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2012_04_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2012-04,0.375,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2012_04_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2012-04,0.6535000000000001,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2012_04_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2012-04,0.5104000000000001,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
